pays;cout (dollars)/tonne
Afrique du Sud;2016.6
Algérie;2180.7
Allemagne;1459.5
Argentine;1324.1
Arménie;3741.2
Autriche;2350.9
Azerbaïdjan;1783.7
Bosnie-Herzégovine;967.5
Brunéi Darussalam;3287.7
Cabo Verde;4469.3
Chine, continentale;1681.4
Chypre;2869.4
Danemark;1200.1
Égypte;1510.5
El Salvador;2860
Espagne;1309.1
Fédération de Russie;1603.6
Fidji;3628.7
Finlande;1460.7
France;1705.7
Géorgie;1739.1
Grèce;2056
Grenade;5710.6
Islande;4442.8
Kazakhstan;1197.7
Lettonie;1876.4
Liban;2674
Luxembourg;5366
Malaisie;2011.4
Malte;1341.7
Maurice;1911.8
Mexique;1634
Népal;2572.3
Norvège;2317.5
Palestine;3589.5
Qatar;6044
Roumanie;1806.3
Sainte-Lucie;4318.5
Sri Lanka;2639.9
Suriname;3135.8
Togo;2583.3
Uruguay;1318.2
Viet Nam;3852.8
Yémen;3877.1
